id,carat,cut,color,clarity,depth,table,x,y,z,price
0,0.3,Ideal,F,SI1,60.2,56.0,4.36,4.41,2.64,6.163
1,0.51,Premium,E,SI1,61.5,58.0,5.14,5.11,3.15,7.373
2,1.59,Premium,G,SI1,62.1,58.0,7.45,7.43,4.62,9.305
3,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,7.99
4,1.01,Good,E,VVS1,63.1,59.0,6.31,6.34,3.99,9.265
5,0.39,Very Good,F,VVS2,61.7,56.0,4.7,4.74,2.91,6.872
6,0.34,Premium,H,VVS1,61.2,60.0,4.5,4.46,2.74,6.903
7,1.0,Very Good,F,SI1,61.4,62.0,6.32,6.36,3.89,8.487
8,0.32,Premium,F,VS2,60.6,59.0,4.4,4.44,2.68,6.469
9,0.34,Fair,J,SI1,64.5,57.0,4.38,4.36,2.82,6.209
10,2.02,Premium,I,SI2,61.4,57.0,8.18,8.08,4.99,9.521
11,0.59,Very Good,E,VS2,60.8,57.0,5.37,5.42,3.28,7.634
12,0.61,Ideal,I,VVS2,62.0,54.0,5.51,5.47,3.4,7.532
13,0.32,Ideal,F,VVS2,62.0,55.0,4.39,4.41,2.73,6.667
14,1.05,Premium,F,VS1,61.0,58.0,6.6,6.55,4.01,8.972
15,1.02,Premium,F,SI1,62.3,58.0,6.38,6.46,4.0,8.576
16,0.71,Ideal,I,VS1,61.5,56.0,5.72,5.76,3.52,7.995
17,0.7,Very Good,F,VVS1,60.6,60.0,5.67,5.7,3.45,8.171
18,0.36,Ideal,E,VS1,62.4,55.0,4.61,4.59,2.87,6.998
19,0.24,Very Good,F,VVS2,60.9,55.0,4.07,4.08,2.48,6.304
20,0.32,Ideal,G,VVS2,62.0,55.0,4.44,4.4,2.74,6.842
21,2.74,Fair,J,I1,64.9,61.0,8.76,8.66,5.65,9.083
22,1.0,Premium,F,SI1,59.8,59.0,6.49,6.55,3.9,8.529
23,1.01,Good,D,SI1,63.9,62.0,6.25,6.31,4.01,8.528
24,1.06,Ideal,G,VS1,61.3,57.0,6.53,6.56,4.01,8.999
25,1.24,Ideal,H,SI1,62.3,54.0,6.88,6.9,4.29,8.834
26,0.77,Fair,H,VS1,64.6,56.4,5.78,5.84,3.75,7.861
27,0.32,Ideal,D,VVS2,60.9,57.0,4.39,4.45,2.7,6.916
28,0.7,Very Good,J,SI1,61.9,58.0,5.64,5.67,3.5,7.418
29,0.41,Ideal,J,VS2,62.4,55.0,4.75,4.77,2.97,6.418
30,0.3,Premium,G,VVS1,61.7,58.0,4.26,4.3,2.64,6.671
31,0.5,Very Good,D,SI2,63.1,56.0,5.05,4.96,3.16,6.923
32,1.23,Ideal,H,VS2,61.7,56.0,6.92,6.88,4.26,8.947
33,1.2,Ideal,H,SI2,61.0,57.0,6.9,6.84,4.19,8.65
34,0.54,Good,E,SI1,59.9,63.0,5.25,5.3,3.16,7.378
35,0.33,Ideal,G,VS1,62.1,56.0,4.42,4.4,2.74,6.75
36,0.71,Premium,D,SI1,61.3,58.0,5.75,5.73,3.52,7.945
37,0.33,Ideal,G,VVS1,61.1,56.0,4.47,4.5,2.74,6.731
38,2.02,Ideal,J,SI2,62.2,57.0,8.11,8.18,5.07,9.452
39,0.3,Premium,G,VVS2,62.2,59.0,4.31,4.28,2.67,6.778
40,0.36,Premium,G,SI1,62.0,59.0,4.56,4.53,2.82,6.535
41,0.47,Very Good,G,VVS1,60.6,55.0,5.05,5.09,3.07,7.484
42,0.9,Ideal,H,SI2,62.8,55.0,6.18,6.11,3.86,8.012
43,1.08,Ideal,E,VVS2,61.0,56.0,6.64,6.67,4.06,9.321
44,0.56,Ideal,G,VVS1,62.3,55.0,5.31,5.25,3.29,7.68
45,0.9,Good,I,VS2,62.4,65.0,6.09,6.12,3.81,8.059
46,0.5,Premium,F,VS1,61.3,59.0,5.09,5.15,3.14,7.444
47,1.01,Premium,E,SI1,61.0,59.0,6.44,6.47,3.94,8.639
48,0.39,Good,J,VS1,63.1,56.0,4.62,4.7,2.94,6.423
49,0.5,Premium,E,VS2,60.6,59.0,5.17,5.06,3.1,7.411
50,1.01,Good,I,SI2,64.1,58.0,6.26,6.31,4.03,8.116
51,0.72,Ideal,F,SI2,62.4,55.0,5.72,5.76,3.58,7.711
52,1.03,Very Good,G,VS2,62.9,56.0,6.43,6.45,4.05,8.726
53,2.01,Premium,H,SI1,61.4,56.0,8.19,8.13,5.01,9.814
54,0.4,Ideal,E,VS2,62.2,55.0,4.71,4.77,2.95,6.994
55,1.13,Premium,E,SI1,60.8,58.0,6.77,6.71,4.1,8.552
56,0.9,Very Good,F,VS2,64.2,59.0,6.07,6.11,3.91,8.359
57,1.0,Good,G,VS1,64.4,58.0,6.23,6.29,4.03,8.684
58,1.28,Premium,E,VS1,60.8,60.0,7.03,6.98,4.26,9.401
59,0.81,Premium,I,SI1,61.8,58.0,5.97,5.91,3.68,7.746
60,0.71,Very Good,E,VS2,60.7,60.0,5.75,5.78,3.5,7.98
61,2.09,Ideal,I,VS2,62.5,56.0,8.13,8.17,5.1,9.798
62,0.5,Ideal,E,VS2,61.0,56.0,5.17,5.12,3.14,7.396
63,0.54,Ideal,D,VS2,61.1,56.0,5.23,5.27,3.21,7.422
64,1.35,Premium,G,SI2,58.4,59.0,7.32,7.28,4.26,8.764
65,1.12,Very Good,G,IF,61.0,58.0,6.7,6.72,4.09,9.192
66,0.32,Ideal,D,SI1,62.0,57.0,4.4,4.37,2.72,6.628
67,0.26,Ideal,H,SI1,62.2,54.0,4.1,4.13,2.56,5.984
68,0.3,Very Good,H,VVS1,63.4,55.0,4.3,4.28,2.72,6.778
69,0.5,Good,D,SI1,60.5,57.0,5.1,5.14,3.1,7.277
70,1.24,Premium,H,SI2,61.2,57.0,7.02,6.87,4.25,8.647
71,0.32,Premium,F,VS2,60.7,58.0,4.41,4.45,2.69,6.469
72,0.52,Ideal,H,SI1,62.0,55.0,5.16,5.2,3.21,7.456
73,0.42,Premium,E,SI1,59.8,61.0,4.89,4.85,2.91,6.831
74,0.51,Very Good,E,SI2,60.3,56.0,5.19,5.22,3.14,7.001
75,0.33,Ideal,E,SI2,61.7,55.0,4.44,4.47,2.75,6.057
76,3.0,Very Good,H,I1,63.1,55.0,9.23,9.1,5.77,8.781
77,0.41,Very Good,E,SI2,61.9,55.0,4.77,4.8,2.96,6.526
78,0.36,Ideal,D,SI1,62.7,57.0,4.59,4.54,2.86,6.746
79,0.43,Very Good,D,SI2,61.1,58.0,4.86,4.9,2.98,6.574
80,0.6,Very Good,I,VVS2,63.7,57.4,5.36,5.41,3.42,7.356
81,1.02,Very Good,H,SI2,62.6,60.0,6.3,6.38,3.97,8.35
82,1.53,Ideal,H,SI2,61.9,57.0,7.42,7.34,4.57,9.048
83,0.4,Very Good,G,SI1,58.3,62.0,4.81,4.86,2.82,6.455
84,0.38,Ideal,G,VS1,62.3,55.0,4.63,4.68,2.9,6.706
85,0.38,Ideal,G,VS1,62.0,55.0,4.64,4.68,2.89,6.782
86,0.41,Very Good,G,VS2,62.9,59.0,4.7,4.75,2.97,6.718
