name,content,url,company,sentiment
Djidel Akram,🌟 Top React Libraries React libraries provide a wide range of pre-built components that can be used to quickly and easily build user interfaces. This can save you a lot of time and effort.These are best React libraries that need to create advanced React applications 🔥Credit:Rahul Patil  #react #webdevelopment #design,https://www.linkedin.com/in/maurisandev,person,0.9287
Straive,"Straive helped a top EdTech company scale up quality checks for its educational content (questions and answers). We assembled a team of 50+ full-time equivalents to manage quality and influx and to review the solutions.  To learn how Straive can help your company streamline quality Q&A and capitalize on projects similarly, download the case study.",https://www.linkedin.com/company/straive_/,company,0.6369
Amazon Web Services (AWS),"Try this new tool from AWS to help advance your cloud-native app development capabilities through improved team skills, processes, and technology",/in/ACoAAB-_UNUB7n_GnQcvTwbEExMJUuXuyRJE3y0/,person,0.7003
Sudalai Rajkumar - SRK,Cohere has created an LLM University to learn about LLMs and NLP. The course covers various aspects of LLMs including⦿ How do LLMs work?⦿ What are LLMs useful for?⦿ How can I use LLMs to build and deploy apps?Link: https://lnkd.in/gc5uTgNMFull Stack Deep Learning announced their free LLM course last week. Read more about that here - https://lnkd.in/gaAKZh3qHappy Learning!#LLMs,https://www.linkedin.com/in/oscar-legat-51840291,person,0.8415
Adalab,"💼 WE ARE HIRING! ☞ En #Adalab buscamos a una persona con estudios en ADE, Económicas o similar y al menos 5 años de experiencia.ℹ️ Accede a la oferta en detalle en para conocer los requisitos del perfil, así como las condiciones del puesto. https://lnkd.in/drBfKxWb",https://www.linkedin.com/company/adalab/,company,0.0
LinkedIn Ads,"Use LinkedIn’s precise targeting capabilities to reach your audiences beyond LinkedIn. Get greater reach, better results with LinkedIn Audience Network. https://lnkd.in/gXmkzz_u",https://www.linkedin.com/company/linkedin-ads/,company,0.6808
Nevan Scott,Evaluating User Interfaces with the Squint Test — Luke Wroblewski reflects on an oldie/goodie:¶,https://www.linkedin.com/in/marcosantonastasi,person,0.0
Andrés Pedreño Muñoz,"👉 Es genial ver que el equipo de ""MakeaBot"" 1millionbot está obteniendo reconocimiento por su arduo trabajo y esfuerzos en el desarrollo de soluciones tecnológicas innovadoras. Un enfoque colaborativo para el éxito.👉 Talento en inteligencia artificial, desarrollo full stack, diseño UX/UI y ciencia de datos, trabaja colectivamente para ofrecer soluciones ¡¡Grandes!! el talento joven se abre paso !!",https://www.linkedin.com/in/andres-pedreno,person,0.6083
Golden Suisse,"Golden Suisse operates similarly to traditional Swiss gold banks of the 19th century. Client deposits and investments are physical gold bars and bullion currencies.Our award-winning banking patented technology allows our clients to utilize their own personal gold  stored in Switzerland to make payments, transfers, and credit card purchases from any location across the globe.As a result, we are more secure than any private bank in the world, including by standards set out by the Bank of International Settlement, and  furthermore as we deal with gold we are also free from inflation risks.",https://www.linkedin.com/company/goldencoin-bettermoneybetterbanking/,company,0.7574
WeDoData,"This week our lovely Olivia has been working from our Bristol office🙋‍♀️“It’s been great catching up with my colleagues but especially, Jango 🐶 One of the main benefits for working in WeDoData is the flexibility they offer; I’ve been able to catch up with family and keep up with my work as usual by conducting Team interviews and booking interviews. Also, seems like I brought the sun with me from Mallorca! 🌴”If you would be interested in speaking about job opportunities within WeDoData contact Owen or Jay for a confidential chat.",https://www.linkedin.com/company/wedodata1/,company,0.968
Laboratoria,"🚀 ¿Sabías que en América Latina existe una escasez de talento tecnológico? 💡💪 Según Bloomberg, la región enfrenta una brecha importante en habilidades tecnológicas, lo que ha generado numerosos puestos vacantes sin candidatos cualificados. ¡Pero no todo está perdido!🌱 Los programas de formación y semilleros de talento están cambiando el juego. Descubre cómo estas iniciativas están cerrando la brecha y brindando oportunidades laborales a candidatas/os altamente capacitados/as en nuestro nuevo artículo, Vanessa Aranibar, nuestra Head of Content & Inbound Marketingnos cuenta más.#TalentoTecnológico #FormaciónDeTalento #SemillerosDeTalento #CerrandoLaBrecha #InnovaciónTecnológica #AméricaLatina #RecursosHumanos #TechJobs #Laboratoria",https://www.linkedin.com/in/nadymich,person,-0.5707
Mauricio Mora Caballero,"La facilidad con que las herramientas analíticas permiten que cada vez más personas ejecuten procedimientos es impresionante👍👍Reduciendo la brecha de conocimiento y facilitando la implementación de cualquier tipo de modelo👍👍Sin embargo, existen procedimientos estadísticos (regresión lineal, regresión logística binaria, múltiple, análisis discriminante...) que necesitan 👀validar supuestos para que sea correcto su uso👀Si no se cumplen estos supuestos, tenemos una ecuación muy linda que no tiene fundamento matemático y no puede usarse😭. Es importante que sepamos cuales son y cómo se deben probar, más allá de ejecutar el modelo y usarlo😃En las regresiones lineales, se debe validar antes de ejecutar el modelo:1. La cantidad de variables que se usen como independientes no puede ser más que la cantidad de registros2. Las variables independientes no deben estar correlacionadas entre sí (ausencia de Multicolinealidad)3. Los errores son idd (independientes e idénticamente distribuidos) con distribución normal con media cero y varianza constante.En siguientes publicaciones quiero 🔎indagar🔍 un poco más en cómo se deben validar los supuestos de los modelos estadísticosDar sugerencia de modelos (variaciones) que pueden tener el mismo alcance cuando no se cumplen los supuestos👍👍.Por ejemplo, al tener variables independientes correlacionados❕❕ se desarrollaron estrategias de regularización, creando variaciones de la regresión lineal conocidas como Lasso, Ridge o Elastic Net. En tu caso, estas probando los supuestos de las regresiones lineales❔❔ lo estás haciendo de forma correcta❔❔Si quieres saber más de estos temas, no dudes en escribirme❕❕#analítica #analisisdedatos #regresion #regresionlineal #supuestos #lasso #ridge #elasticnet #error #estadistica #modelos",https://www.linkedin.com/in/rsaavedr,person,-0.9081
Adalab,Si alguna vez has sentido que no mereces estar en tu puesto y que tus logros son casualidad es probable que sufras el #SíndromeDeLaImpostora.,https://www.linkedin.com/company/adalab/,company,-0.296
GitLab,"GitLab asked more than 5,000 DevSecOps professionals to share their opinions on the current state of software development, security, and operations. See what teams are prioritizing in 2023.",/in/ACoAAAVrZ5gBhP8hYR5mI6IE2HU9ssFi3_3SK10/,person,0.5574
