Department,EducationField,MonthlyRate,StandardHours
Human Resources,Human Resources,14810.74074074074,216
Human Resources,Life Sciences,12813.875,128
Human Resources,Medical,12668.23076923077,104
Human Resources,Other,9275.0,24
Human Resources,Technical Degree,13158.5,32
Research & Development,Life Sciences,14594.704545454546,3520
Research & Development,Medical,14163.603305785124,2904
Research & Development,Other,13051.765625,512
Research & Development,Technical Degree,14142.393617021276,752
Sales,Life Sciences,14523.786666666667,1200
Sales,Marketing,14076.943396226416,1272
Sales,Medical,15077.625,704
Sales,Other,15004.4,120
Sales,Technical Degree,14522.029411764706,272
